,molregno,chembl_id,max_phase,canonical_smiles,standard_inchi_key,mw_freebase,molecular_weight,alogp,hba,hbd,psa,rtb,num_ro5_violations,aromatic_rings,heavy_atoms,qed_weighted,np_likeness_score,natural_product,prodrug,ro3_pass,oral,parenteral,topical
11978,2197729,CHEMBL3989858,4.0,CC(=O)[O-].CC(=O)[O-].O.O.O.O.[Mg+2],XKPKPGCRSHFTKM-UHFFFAOYSA-L,142.39,214.45,,,,,,,,,,,0,0,,0,1,0
11985,2197736,CHEMBL3989865,2.0,C/C=C(/C)C(=O)O[C@H]1C(C)=C2[C@H]([C@@H]1OC(=O)CCCCCCC)[C@@](C)(OC(C)=O)C[C@H](OC(=O)CCCCCCCCCCCNC(=O)C[C@H](N)C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)C(=O)O)[C@@]1(O)[C@H]2OC(=O)[C@@]1(C)O,UPYNTAIBQVNPIH-ODMLWHIESA-N,1409.54,1409.54,,,,,,,,,,,1,1,,0,0,0
12041,2197799,CHEMBL3989928,4.0,CC(=O)[O-].CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](OCC[N+](C)(C)C)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,MXMWJAPNUIKPGF-YOFVRWEXSA-N,1226.41,1285.46,,,,,,,,,,,1,0,,0,1,0
12056,2197816,CHEMBL3989945,4.0,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](OCC[N+](C)(C)C)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,LNFCWEXGZIEGJW-TXSVMFMRSA-O,1226.41,1226.41,,,,,,,,,,,1,0,,0,1,0
12076,2197842,CHEMBL3989971,3.0,CC[C@H]1C[C@@H](C(=O)NCCNC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)C[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H](CC3CCCCC3)C(=O)O)[C@H]2NC(C)=O)[C@@H]1O[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,LYSYOXNOOPBOSC-NGSKMYNLSA-N,1304.53,1304.53,,,,,,,,,,,1,0,,0,0,0
12085,2198067,CHEMBL3990196,2.0,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCCN[C@@H](C)c3ccccc3)cs2)cs1)[C@@H](C)O)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1,QIMGFXOHTOXMQP-GFAGFCTOSA-N,1473.61,1473.61,,,,,,,,,,,1,0,,0,0,0
12095,2198565,CHEMBL3990694,4.0,C1CNCCN1.C1CNCCN1.C1CNCCN1.O=C(O)CC(O)(CC(=O)O)C(=O)O.O=C(O)CC(O)(CC(=O)O)C(=O)O,JDDHUROHDHPVIO-UHFFFAOYSA-N,642.66,642.66,,,,,,,,,,,0,0,,1,0,0
12175,2255729,CHEMBL4116378,2.0,NC[C@H]1OB(O)c2c(OCCO)ccc(Cl)c21,DJUOWOXTPXUHDQ-MRVPVSSYSA-N,257.48,257.48,,,,,,,,,,,0,0,,0,0,0
12212,2296422,CHEMBL4218271,2.0,C[C@H](N)C(=O)N1C[C@H](CCCB(O)O)[C@](N)(C(=O)O)C1,ZZJLMZYUGLJBSO-LAEOZQHASA-N,287.12,287.12,,,,,,,,,,,0,0,,0,0,0
12240,2334770,CHEMBL4296719,3.0,O=C(CN[C@@H]1CCNC1)N1CCC[C@H]1B(O)O,DVJAMEIQRSHVKC-BDAKNGLRSA-N,241.1,241.1,,,,,,,,,,,1,0,,0,0,0
