,std_smiles,canonical_smiles,max_phase,oral,parenteral,prodrug,max_phase_num
2671,C[S+]([O-])CCCCN=C=S,C[S+]([O-])CCCCN=C=S,3,0,0,0,3
2672,C[n+]1ccc(C(=O)NCc2ccccc2)cc1,C[n+]1ccc(C(=O)NCc2ccccc2)cc1,3,0,0,0,3
2673,Cc1[nH]n(-c2ccc3c(c2)CCCC3)c(=O)c1N=Nc1cccc(-c2ccc(C(=O)O)o2)c1O,CC1=NN(c2ccc3c(c2)CCCC3)C(=O)/C1=N\Nc1cccc(-c2ccc(C(=O)O)o2)c1O,3,0,0,0,3
2674,Cc1[nH]nc(C(=O)Nc2cnc3[nH]c(-c4ccccc4)cc3c2)c1C,Cc1[nH]nc(C(=O)Nc2cnc3[nH]c(-c4ccccc4)cc3c2)c1C,3,0,0,0,3
2675,Cc1[nH]nc2c1N=C(c1ccccc1Cl)c1cnc(N3CCOCC3)cc1N2,Cc1[nH]nc2c1N=C(c1ccccc1Cl)c1cnc(N3CCOCC3)cc1N2,3,0,0,0,3
2676,Cc1c(-c2cnccn2)ssc1=S,Cc1c(-c2cnccn2)ssc1=S,3,0,0,0,3
2677,Cc1c(C(=O)O)ccc2c3n(nc12)[C@@H]1[C@H](C3)N(CC2CC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,Cc1c(C(=O)O)ccc2c3n(nc12)[C@@H]1[C@H](C3)N(CC2CC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,3,0,0,0,3
2678,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(C(=O)N[C@@H]1CCCNC1)O2,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(C(=O)N[C@@H]1CCCNC1)O2,3,0,0,0,3
2679,Cc1c(CC(=O)O)c2cccnc2n1Cc1ccc(S(C)(=O)=O)cc1C(F)(F)F,Cc1c(CC(=O)O)c2cccnc2n1Cc1ccc(S(C)(=O)=O)cc1C(F)(F)F,3,0,0,0,3
2680,Cc1c(Cc2ccc3ccccc3n2)c2cc(F)ccc2n1CC(=O)O,Cc1c(Cc2ccc3ccccc3n2)c2cc(F)ccc2n1CC(=O)O,3,0,0,0,3
