molregno,chembl_id,max_phase,canonical_smiles,standard_inchi_key,mw_freebase,molecular_weight,alogp,hba,hbd,psa,rtb,num_ro5_violations,aromatic_rings,heavy_atoms,qed_weighted,np_likeness_score,natural_product,prodrug,ro3_pass,oral,parenteral,topical
1378750,CHEMBL2106480,-1,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12.Cl.Cl,NOIHTGOGFDFCBN-UHFFFAOYSA-N,488.61,561.54,2.07,8,1,112.9,8,0,3,34,0.52,-1.61,0,0,N,0,0,0
1378751,CHEMBL2106481,2,COc1cc(C(=O)NCc2ccc(C)nc2N)cc(OC)c1OC,QRYWJFOBXFDERP-UHFFFAOYSA-N,331.37,331.37,1.93,6,2,95.7,6,0,2,24,0.84,-0.74,0,0,N,0,0,0
1378752,CHEMBL2106482,2,CC(C)(C)C(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,OFVFGKQCUDMLLP-UHFFFAOYSA-N,364.44,364.44,3.99,3,0,57.69,5,0,2,27,0.75,-0.04,0,0,N,0,0,0
1378753,CHEMBL2106483,4,CCOc1ccccc1OCC1CNCCO1.Cl,HJOCKFVCMLCPTP-UHFFFAOYSA-N,237.3,273.76,1.45,4,1,39.72,5,0,1,17,0.84,-0.37,0,0,N,1,0,0
1378754,CHEMBL2106484,2,CC(=O)O[C@@H]1C=C2C(Cl)=C[C@@H]3[C@H](CC[C@@]4(C)[C@H]3CC[C@]4(OC(C)=O)C(C)=O)[C@@]2(C)CC1,KSCZWFXQKITHSL-OKCNGXCSSA-N,448.99,448.99,5.11,5,0,69.67,3,1,0,31,0.56,1.77,1,0,N,0,0,0
1378756,CHEMBL2106486,-1,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSC(=O)c3ccco3)CS[C@H]12)c1csc(N)n1.Cl,KEQFDTJEEQKVLM-JUODUXDSSA-N,523.57,560.04,0.98,12,3,177.42,8,2,2,34,0.26,-0.38,0,0,N,0,0,0
1378757,CHEMBL2106487,-1,CCOC(C(=O)N(C)CCN(C)CCc1ccccc1)(c1ccccc1)c1ccccc1.Cl,DQPNQXUUCWOWCK-UHFFFAOYSA-N,430.59,467.05,4.6,3,0,32.78,11,0,3,32,0.45,-0.5,0,0,N,0,0,0
1378758,CHEMBL2106488,2,CC(C)C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(c1ccccc1)C1CCCC1)C2.[Br-],ZAGFSRDBSQUHPR-YYYJYMDPSA-M,384.58,464.49,5.3,2,0,26.3,6,1,1,28,0.49,0.28,0,0,N,0,0,0
1378759,CHEMBL2106489,3,[15OH2],XLYOFNOQVPJJNP-BJUDXGSMSA-N,18.02,17.02,-0.82,0,0,31.5,0,0,0,1,0.33,0,0,0,Y,0,0,0
1378760,CHEMBL2106490,2,CCC(C(=O)SCCN(CC)CC)c1ccc(-c2ccccc2)cc1,PFNLUFYAGHJNKJ-UHFFFAOYSA-N,355.55,355.55,5.45,3,0,20.31,9,1,2,25,0.6,-0.7,0,0,N,0,0,0
1378761,CHEMBL2106491,-1,CC(=O)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O.Cl,BXIBTMOWCBKWEX-JKPGXYSKSA-N,411.41,447.87,1.27,8,5,158.15,1,0,2,30,0.35,1.29,0,0,N,0,0,0
1378762,CHEMBL2106492,2,CN1C(=O)CN(C(N)=O)C(c2ccccc2)c2cc(Cl)ccc21,HFFJORVBQWPILU-UHFFFAOYSA-N,329.79,329.79,2.79,2,1,66.64,1,0,2,23,0.87,-0.88,0,0,N,0,0,0
1378764,CHEMBL2106494,2,NC(=N/Cl)/N=N/C(N)=N\Cl,PMPQRINMBYHVSP-MDZDMXLPSA-N,183,183,0.38,2,2,101.48,0,0,0,10,0.32,-0.08,0,0,N,0,0,0
1378765,CHEMBL2106495,2,Cc1cc(C)cc(-c2c(O)c3ccccc3oc2=O)c1,MEGNNNHOKFVHGC-UHFFFAOYSA-N,266.3,266.3,3.78,3,1,50.44,1,0,3,20,0.68,0.2,0,0,N,0,0,0
1378766,CHEMBL2106496,2,COC(=O)C1Oc2ccc(Cl)cc2Cc2cc(Cl)ccc2O1,BORQIQWYKSNHKN-UHFFFAOYSA-N,339.17,339.17,3.85,4,0,44.76,1,0,2,22,0.74,-0.17,0,0,N,0,0,0
1378767,CHEMBL2106497,-1,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@]2(C)C/C(=C\CCCC(=O)[O-])C[C@H]12.CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@]2(C)C/C(=C\CCCC(=O)[O-])C[C@H]12.[Ca+2],NJTMVDAFPIEZAJ-BMKVUGPNSA-L,364.53,767.11,4.46,3,3,77.76,10,0,0,26,0.39,2,1,0,N,0,0,0
1378768,CHEMBL2106498,2,O=C(/C=C/c1ccc2c(c1)OCO2)N1CCN(CC(=O)N2CCCC2)CC1,PZMLVXOVOLQCMP-GQCTYLIASA-N,371.44,371.44,1.2,5,0,62.32,4,0,1,27,0.74,-0.86,0,0,N,0,0,0
1378769,CHEMBL2106499,2,CC(C)[C@H](N)C(=O)O[C@@H]1C[C@@H](n2ccc(N)nc2=O)O[C@H]1CO,VFCYZPOEGWLYRM-QCZKYFFMSA-N,326.35,326.35,-1,9,3,142.69,5,0,1,23,0.58,1.27,1,1,N,0,0,0
1378770,CHEMBL2106500,2,CCCc1ncc(C(=O)O)s1,IOSZDNOGOPHEPH-UHFFFAOYSA-N,171.22,171.22,1.79,3,1,50.19,3,0,1,11,0.75,-1.39,0,0,Y,0,0,0
1378771,CHEMBL2106501,2,O=C(O)Cc1c(-c2ccccc2)nn(-c2ccccc2)c1-c1ccccc1,YBPNJBYPFNTZIW-UHFFFAOYSA-N,354.41,354.41,4.83,3,1,55.12,5,0,4,27,0.56,-0.69,0,0,N,0,0,0
1378773,CHEMBL2106503,2,CCOC(=O)N(c1cccc(C(=O)c2ccccc2)c1)S(=O)(=O)C(F)(F)F,ULANGSAJTINEBA-UHFFFAOYSA-N,401.36,401.36,3.73,5,0,80.75,5,0,2,27,0.71,-0.85,0,0,N,0,0,0
1378774,CHEMBL2106504,2,CN(C)CCCN1c2ccccc2CCc2ccc(C#N)cc21,LQXYCDLHSKICDY-UHFFFAOYSA-N,305.43,305.43,3.75,3,0,30.27,4,0,2,23,0.86,-1.21,0,0,N,0,0,0
1378775,CHEMBL2106505,-1,CCCCCCN1CCN(/C(=N\CC(C)C)c2ccccc2)CC1.O=C(O)/C=C\C(=O)O,GRQHZPQLVLZJHM-HCVWCFOQSA-N,329.53,445.6,4.29,2,0,18.84,8,0,1,24,0.4,-0.67,0,0,N,0,0,0
1378776,CHEMBL2106506,-1,O=C([O-])[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Na+],FMYOMWCQJXWGEN-WYRLRVFGSA-M,248.16,248.16,,,,,,,,,,,1,0,,0,0,0
1378777,CHEMBL2106507,-1,CCCC(=O)c1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2.O=C(O)/C=C\C(=O)O,LMBCREWHCDEWPC-BTJKTKAUSA-N,409.6,525.67,4.91,5,0,26.79,7,0,2,29,0.61,-1.13,0,0,N,0,0,0
